STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
08121,Cumberland Preschool,Cumberland Preschool Center,08,Cumberland,"Cumberland Preschool, Cumberland",Elementary School,364 Broad Street,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - PK,,,
26121,Cunningham,Cunningham School,26,Pawtucket,"Cunningham, Pawtucket",Elementary School,40 Baldwin Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
32110,Curtis Corner MS,Curtis Corner Middle School,32,South Kingstown,"Curtis Corner MS, South Kingstown",Middle School,301 Curtis Corner Road,South Kingstown,02879,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
26116,Curvin-McCabe,Curvin-McCabe School,26,Pawtucket,"Curvin-McCabe, Pawtucket",Elementary School,466 Cottage Street,Pawtucket,02861,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
07110,Waterman,Daniel D. Waterman School,07,Cranston,"Waterman, Cranston",Elementary School,722 Pontiac Avenue,Cranston,02910,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
17701,Davies Car/Tech HS,Davies Career-Tech High Schoo,40,Davies,"Davies Car/Tech HS, Davies",High School,50 Jenckes Hill Road,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
23112,Davisville MS,Davisville Middle School,23,North Kingstown,"Davisville MS, North Kingstown",Middle School,200 School Street,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
23107,Davisville,Davisville School,23,North Kingstown,"Davisville, North Kingstown",Elementary School,50 East Court,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 03,ELEM,,
07702,DCYF Alt.,DCYF Alternative Ed. Program,67,DCYF,"DCYF Alt., DCYF",Middle and High School,300 New London Avenue,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 12,,MIDDLE,HIGH
08601,Democracy Prep BV,Democracy Prep Blackstone Val,47,Democracy Blackstone Valley,"Democracy Prep BV, Democracy Blackstone Valley",Elementary School,7 Fatima Dr,Cumberland,02864,Charter School,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - K,ELEM,,
